id,n,e,z
3,5192,228,1046
4,4504,791,1045
5,3813,1359,1045
7,3122,1922,1043
8,2433,2486,1043
9,1739,3050,1043
11,1047,3614,1043
12,356,4180,1043
13,5193,227,510
14,4504,791,510
19,3124,1922,510
21,2433,2485,510
23,1740,3049,509
24,1049,3615,509
25,357,4182,509
28,4503,791,-332
29,3812,1357,-332
30,3121,1921,-332
31,2430,2484,-333
32,1740,3049,-335
33,1048,3613,-336
34,357,4177,-338
35,5195,225,-345
37,4167,1067,71
38,5133,282,-1042
42,4500,796,-1061
44,4876,486,76
46,1390,3335,70
47,2085,2767,71
48,2775,2204,71
51,3460,1648,66
56,707,3893,68
58,3813,1360,506
68,3814,1358,-1053
69,3124,1924,-1057
70,2432,2485,-1057
71,1740,3050,-1057
72,1049,3613,-1057
73,335,4198,-1045
